University/College Name;School Link;City;State;Name of the state;Control;Region;Accessible to Metropolitan Area;Setting;Insituation Size;Coeducational or Single-sex?;HBCU?;Primary Focus;Undergraduate?;Where do most students live?;Religious;Budget Category;Tuition and fees without aid;Room and board;Total cost of attendance without aid;Cost of Attendance from year;Types of Aid for international students;Number of international students awarded financial aid/scholarships;Percentage of International students who receive aid;Average amount awarded;Average cost in 2023-2024 after aid (merit or need);Total awarded in millions;Meets full demonstrated need?;Amount of largest Merit Scholarship;Scholarship's Name and Information;Scholarship's Link;Scholarship's Information;2024-2025 adjusted tuition after Merit Scholarship;2024-2025 cost of attendance after largest Merit Scholarship;How to apply;Acceptance rate;International admission rate;Yield (approximate);International yield;Class of 2027 - international applications;Class of 2027 - international students admitted;Class of 2027 international accepted offer/enrolled;Regular Decision acceptance rate;Regular Decision acceptance rate from class year;Early plan offered?;Early Decision 2 offered?;Early Decision acceptance rate;Early Decision acceptance rate from year;Early Decision advantage over Regular Decision;Percent of class of 2027 filled ED;Early Action acceptance rate;Early Action acceptance rate from class year;Early Action advantage over Regular Decision;Testing Requirements;Percent of accepted students who submitted SAT scores;Percent of accepted students who submitted ACT scores;SAT comp 50%ile;SAT Math 25%ile;SAT Math 75%ile;SAT EBRW 25%ile;SAT EBRW 75%ile;ACT comp 25%ile;ACT comp 50%ile;ACT compo 75%ile;ACT math 25%ile;ACT math 75%ile;ACT English 25%ile;ACT English 75%ile;ACT Reading 25%ile;ACT Reading 75%ile;ACT Science 25%ile;ACT Science 75%ile;Testing - main data source;International 4-year graduation rate (IPEDS);International 5-year graduation rate (IPEDS);International 6-year graduation rate (IPEDS);Percent of international graduates who take longer than 4 years;International transfer-out rate;Early Decision application deadline;Early Action application deadline;Priority Deadline;Rolling admission?;Regular Decision deadline;Accepts applications after deadline on space available basis?;Early Action/Early Decision document deadline;Early Action/Early Decision financial aid deadline;Latest testing for Early Action/Early Decision;Early Action/Early Decision notification date;Early Decision 2 Application deadline;Early Decision 2 Financial aid deadline;Early Decision 2 Notification Date;Regular Decision document deadline;Latest testing accepted Regular Decision;Regular Decision/only financial aid deadline;Regular Decision notification date;Latest CDS available;US News National Universities 2025;Times Higher Education 2024 World Universities;THE - rank within USA;QS World Universities;QS World Universities (within United States);WSJ Best Colleges Rank;WSJ Best Colleges Score;US News National Liberal Arts Colleges;QS World International student rank;QS World International Student score;US News Undergrad CS;US News CS: AI;QS Computer Science;CSRankings.org Overall ranking;US News Undergraduate Business;QS Business;US News Undergrad Economics;US News Top 50 engineering? either doctorate or non-doctorate;US News Undergrad Engineering programs: Doctorate;US News Undergrad Engineering programs: Non- Doctorate;US News Undergrad Mechanical Engineering;US News Undergrad Electrical Engineering;US News Undergraduate Computer Engineering;US News Undergrad Biomedical Engineering;US News Undergrad Chemical Engineering;Abortion law status (NYT, as of October 28, 2024);Currently legal until;Gun deaths (non- suicide) per 100,000, 2018-2022, by county (Dept. of Health);On-campus violent crimes (non-sexual) reported 2018-2022, average per year (OPE);On-campus rapes/sexual assaults reported 2018-2022 - average per year (OPE);Source_List1;Source_List2;Source_List3;Source_List4;Source_List5;Source_List6
Harvard University;;Cambridge;MA;Massachusetts;Private;Northeast (New England);Boston, MA;City: Midsize;20K+;Coeducational;No;Arts and Sciences;Minority;On-campus;1-Historically;$10.000;$61.676;$21.190;$86.866;;Need;711;72%;$75.088;$8.362;$53.4m;Yes (Need-blind);;;;;;;;3,7%;1,9%;84%;89%;15934;301;268;2,70%;;Restricted Early Action Only;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;early_admission;generous_aid;affordable;;;international_playlist
Harvard University;;Cambridge;MA;Massachusetts;Private;Northeast (New England);Boston, MA;City: Midsize;20K+;Coeducational;No;Arts and Sciences;Minority;On-campus;1-Historically;$10.000;$61.676;$21.190;$86.866;24-25;Need;711;72%;$75.088;$8.362;$53.4m;Yes (Need-blind);;;;;;;;3,7%;1,9%;84%;89%;15934;301;268;;;Restricted Early Action Only;;;;;;8,7%;2028;3.2x;Required;52%;22%;;760;800;740;780;34;35;36;33;36;35;36;34;36;33;36;CDS24;80%;90%;96%;17%;;;11/1/2024;;;1/1/2025;;11/8/2024;11/1/2024;November;Mid-December;;;;1/8/2025;February;2/1/2025;;23-24;3;4;3;4;2;6;89,5;;215;69;13;11;4;41;;1;5;Yes;27;;30;13;;21;;Legal;Viability;0,5;58,4;31,8;;generous_aid;affordable;;;international_playlist
Harvard University;;Cambridge;MA;Massachusetts;Private;Northeast (New England);Boston, MA;City: Midsize;20K+;Coeducational;No;Arts and Sciences;Minority;On-campus;1-Historically;$10.000;$61.676;$21.190;$86.866;;Need;711;72%;$75.088;$8.362;$53.4m;Yes (Need-blind);;;;;;;;3,7%;1,9%;84%;89%;15934;301;268;;2,70%;Restricted Early Action Only;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;generous_aid;affordable;global_top_212;;international_playlist
Harvard University;;Cambridge;MA;Massachusetts;Private;Northeast (New England);Boston, MA;City: Midsize;20K+;Coeducational;No;Arts and Sciences;Minority;On-campus;1-Historically;$10.000;$61.676;$21.190;$86.866;24-25;Need;711;72%;$75.088;$8.362;$53.4m;Yes (Need-blind);;;;;;;;3,7%;1,9%;84%;89%;15934;301;268;2,70%;2028;Restricted Early Action Only;;;;;;8,7%;2028;3.2x;Required;52%;22%;;760;800;740;780;34;35;36;33;36;35;36;34;36;33;36;CDS24;80%;90%;96%;17%;;;;;;;;;;;;;;;;;;;23-24;3;4;3;4;2;6;89,5;;215;69;13;11;4;41;;1;15;;51;;;40;;;;Legal;24 weeks;1,5;0;30,4;;generous_aid;affordable;;ivy_league;international_playlist
Harvard University;https://www.harvard.edu;Cambridge;MA;Massachusetts;Private;Northeast (New England);Boston, MA;City: Midsize;20K+;Coeducational;No;Arts and Sciences;Minority;On-campus;1-Historically;$10.000;$61.676;$21.190;$86.866;24-25;Need;711;72%;$75.088;$8.362;$53.4m;Yes (Need-blind);;;;;;;;3,7%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;generous_aid;affordable;;;international_playlist
Harvey Mudd College;;Claremont;CA;California;Private;West Coast;Los Angeles, CA;Suburb: Large;<1K;Coeducational;No;Arts and Sciences;Exclusively;On-campus;0-None;$55.000;$68.613;$22.318;$94.931;;Both;30;32%;$40.250;$51.715;$1.2m;No;$10.000;Harvey S. Mudd and Esterbrook scholarships;https://www.hmc.edu/admission/afford/scholarships-and-grants/merit-based-scholarships/harvey-s-mudd-merit-award/;"These are merit-based scholarships awarded to a select number of students. No separate application is required; recipients are selected based on their outstanding admission applications.";$58.613;$84.931;Automatic consideration;13,1%;6,9%;36%;44%;986;68;30;12,4%;;Early Decision only;Yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;early_admission;;;;;international_playlist
Harvey Mudd College;https://www.hmc.edu;Claremont;CA;California;Private;West Coast;Los Angeles, CA;Suburb: Large;<1K;Coeducational;No;Arts and Sciences;Exclusively;On-campus;0-None;$55.000;$68.613;$22.318;$94.931;24-25;Both;30;32%;$40.250;$51.715;$1.2m;No;$10.000;Harvey S. Mudd and Esterbrook scholarships;https://www.hmc.edu/admission/afford/scholarships-and-grants/merit-based-scholarships/harvey-s-mudd-merit-award/;"These are merit-based scholarships awarded to a select number of students. No separate application is required; recipients are selected based on their outstanding admission applications.";$58.613;$84.931;Automatic consideration;13,1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;international_playlist
Haverford College;;Haverford;PA;Pennsylvania;Private;Northeast (Mid-Atlantic);Philadelphia, PA;Suburb: Large;1K - 9K;Coeducational;No;Arts and Sciences;Exclusively;Off-campus;1-Historically;$10.000;$70.398;$19.170;$93.568;;Need;56;36%;$85.402;$5.498;$4.8m;Yes (Need-aware);;;;;;;;12,9%;4,7%;45%;46%;2645;123;57;10,7%;;Early Decision only;Yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;early_admission;generous_aid;affordable;;;international_playlist
Haverford College;;Haverford;PA;Pennsylvania;Private;Northeast (Mid-Atlantic);Philadelphia, PA;Suburb: Large;1K - 9K;Coeducational;No;Arts and Sciences;Exclusively;Off-campus;1-Historically;$10.000;$70.398;$19.170;$93.568;24-25;Need;56;36%;$85.402;$5.498;$4.8m;Yes (Need-aware);;;;;;;;12,9%;4,7%;45%;46%;2645;123;57;;;Early Decision only;Yes;33,1%;2027;3.1x;55%;;;;Optional;40%;14%;1480;720;780;710;760;33;34;35;30;34;33;35;34;36;33;35;CDS24;79%;87%;95%;17%;5%;11/15/2024;;;;1/10/2025;;;;Not specified;12/15/2024;1/5/2025;;early February;;;;;23-24;;;;;;41;79,4;24;;;240;;;;;;;;;;;240;;;;Legal;24 weeks;7,4;0;8,2;;generous_aid;affordable;;;international_playlist
Haverford College;https://www.haverford.edu;Haverford;PA;Pennsylvania;Private;Northeast (Mid-Atlantic);Philadelphia, PA;Suburb: Large;1K - 9K;Coeducational;No;Arts and Sciences;Exclusively;Off-campus;1-Historically;$10.000;$70.398;$19.170;$93.568;24-25;Need;56;36%;$85.402;$5.498;$4.8m;Yes (Need-aware);;;;;;;;12,9%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;generous_aid;affordable;;;international_playlist
Hawaii Pacific University;;Honolulu;HI;Hawaii;Private;Hawaii;;City: Large;1K - 9K;Coeducational;No;Professional;High;On-campus;0-None;;$34.392;$21.050;$59.442;;Merit;No data;;No data;;;No;50% tuition;YouAreWelcomeHere Scholarship Scholarship;https://www.hpu.edu/undergraduate-admissions/international/scholarships.html;A scholarship for incoming international students. Requires a separate application, including an essay, to be submitted after receiving an offer of admission.;$17.196;$42.246;Requires application;84%;86%;4%;-;;-;;84%;;Early Action Only;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;early_admission;generous_aid;;;;international_playlist
Hawaii Pacific University;https://www.hpu.edu;Honolulu;HI;Hawaii;Private;Hawaii;;City: Large;1K - 9K;Coeducational;No;Professional;High;On-campus;0-None;;$34.392;$21.050;$59.442;24-25;Merit;No data;;No data;;;No;50% tuition;YouAreWelcomeHere Scholarship Scholarship;https://www.hpu.edu/undergraduate-admissions/international/scholarships.html;A scholarship for incoming international students. Requires a separate application, including an essay, to be submitted after receiving an offer of admission.;$17.196;$42.246;Requires application;84%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;generous_aid;;;;international_playlist
Hendrix College;;Conway;AR;Arkansas;Private;South (Central);;City: Small;1K - 9K;Coeducational;No;Arts and Sciences;Very High;On-campus;2-Slightly;;$38.200;$14.852;$57.052;;Merit;14;67%;$46.761;;$0.7m;No;$15.000;Hendrix College Academic Scholarships;https://www.hendrix.edu/financialaid/scholarships/;All applicants are automatically considered for merit-based academic scholarships upon admission. No separate application is required.;$23.200;$42.052;Automatic consideration;53%;5%;20%;-;;-;;43%;;Early Action Only;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;early_admission;;;;;international_playlist
Hendrix College;https://www.hendrix.edu;Conway;AR;Arkansas;Private;South (Central);;City: Small;1K - 9K;Coeducational;No;Arts and Sciences;Very High;On-campus;2-Slightly;;$38.200;$14.852;$57.052;24-25;Merit;14;67%;$46.761;;$0.7m;No;$15.000;Hendrix College Academic Scholarships;https://www.hendrix.edu/financialaid/scholarships/;All applicants are automatically considered for merit-based academic scholarships upon admission. No separate application is required.;$23.200;$42.052;Automatic consideration;53%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;international_playlist
High Point University;;High Point;NC;North Carolina;Private;Southeast;Raleigh, NC;City: Midsize;5K - 10K;Coeducational;No;Balanced;High;On-campus;2-Slightly;;$44.208;$18.462;$66.670;;None;No data;;No data;;;No;not specified;Merit Scholarship;https://www.highpoint.edu/admissions/international-students/;A student's application for admission is also their application for merit-based scholarships. No separate application is required. Awards are based on academic achievement.;;;;77%;39%;12%;-;;-;;59%;;Both;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;early_admission;generous_aid;;;;international_playlist
High Point University;https://www.highpoint.edu;High Point;NC;North Carolina;Private;Southeast;Raleigh, NC;City: Midsize;5K - 10K;Coeducational;No;Balanced;High;On-campus;2-Slightly;;$44.208;$18.462;$66.670;23-24;None;No data;;No data;;;No;not specified;Merit Scholarship;https://www.highpoint.edu/admissions/international-students/;A student's application for admission is also their application for merit-based scholarships. No separate application is required. Awards are based on academic achievement.;;;;77%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;generous_aid;;;;international_playlist
Hillsdale College;;Hillsdale;MI;Michigan;Private;Midwest (Great Lakes);;Town: Distant;1K - 9K;Coeducational;No;Arts and Sciences;Very High;On-campus;1-Historically;$15.000;$33.189;$13.600;$50.789;;Both;30;100%;$36.550;$12.722;$1.1m;No;Full Tuition;Merit Scholarship and Leadership Scholarship;https://www.hillsdale.edu/admissions-aid/financial-aid/scholarships/;The college offers hundreds of privately funded scholarships based on academic merit, leadership, and other talents. Consideration is automatic with the admission application.;$0;$17.600;Automatic consideration;21%;9%;62%;-;;-;;21%;;Early Decision only;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;early_admission;;affordable;;;international_playlist
Hillsdale College;https://www.hillsdale.edu;Hillsdale;MI;Michigan;Private;Midwest (Great Lakes);;Town: Distant;1K - 9K;Coeducational;No;Arts and Sciences;Very High;On-campus;1-Historically;$15.000;$33.189;$13.600;$50.789;24-25;Both;30;100%;$36.550;$12.722;$1.1m;No;Full Tuition;Merit Scholarship and Leadership Scholarship;https://www.hillsdale.edu/admissions-aid/financial-aid/scholarships/;The college offers hundreds of privately funded scholarships based on academic merit, leadership, and other talents. Consideration is automatic with the admission application.;$0;$17.600;Automatic consideration;21%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;affordable;;;international_playlist
Hiram College;https://www.hiram.edu;Hiram;OH;Ohio;Private;Midwest (Great Lakes);;Rural: Distant;1K - 9K;Coeducational;No;Professional;Very High;On-campus;1-Historically;;$27.600;$11.850;$43.450;24-25;Merit;5;64%;$14.440;;$0.1m;No;$10.000;International Global Scholarship;https://www.hiram.edu/admissions-aid/student-financial-services/applying-for-financial-aid/types-of-financial-aid/scholarships-and-grants/;Admitted international students are Automatically Awardeded the Global Scholarship. No separate application is required. The award is renewable for four years.;$17.600;$33.450;Automatic consideration;93%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;international_playlist
Hobart & William Smith Colleges;;Geneva;NY;New York;Private;Northeast (Mid-Atlantic);;Town: Distant;1K - 9K;Coeducational;No;Arts and Sciences;Very High;On-campus;1-Historically;$30.000;$64.842;$17.768;$86.610;;Merit;114;99%;$55.218;$29.384;$6.3m;Yes (Need-aware);$40.000;Unspecified;https://www.hws.edu/admissions/tuition-scholarships-and-aid/merit-based-awards.aspx;All applicants are automatically considered for Merit Scholarships (e.g., Trustee, Blackwell) at the time of admission. Some specific awards, like the Centennial Center Leadership Scholarship, require a separate application after admission.;$24.842;$46.610;Automatic consideration;56,9%;16,7%;15%;10%;1306;218;21;40,1%;;Both;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;early_admission;generous_aid;affordable;;;international_playlist
Hobart & William Smith Colleges;https://www.hws.edu;Geneva;NY;New York;Private;Northeast (Mid-Atlantic);;Town: Distant;1K - 9K;Coeducational;No;Arts and Sciences;Very High;On-campus;1-Historically;$30.000;$64.842;$17.768;$86.610;24-25;Merit;114;99%;$55.218;$29.384;$6.3m;Yes (Need-aware);$40.000;Unspecified;https://www.hws.edu/admissions/tuition-scholarships-and-aid/merit-based-awards.aspx;All applicants are automatically considered for Merit Scholarships (e.g., Trustee, Blackwell) at the time of admission. Some specific awards, like the Centennial Center Leadership Scholarship, require a separate application after admission.;$24.842;$46.610;Automatic consideration;56,9%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;generous_aid;affordable;;;international_playlist
Hofstra University;;Hempstead;NY;New York;Private;Northeast (Mid-Atlantic);New York City;Suburb: Large;10K - 20K;Coeducational;No;Professional;Majority;On-campus;0-None;$50.000;$57.660;$18.942;$80.602;;Merit;178;79%;$30.997;$46.173;$5.5m;No;$28.000;Presidential Scholarship;https://www.hofstra.edu/admission/scholarship-opportunities.html;The Presidential Scholarship is the highest merit award. All first-year applicants are automatically considered based on their admission application. No separate application is needed.;$29.660;$52.602;Automatic consideration;70,6%;7,2%;10%;30%;2196;159;48;61%;;Early Action Only;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;early_admission;;;;;international_playlist
Hofstra University;https://www.hofstra.edu;Hempstead;NY;New York;Private;Northeast (Mid-Atlantic);New York City;Suburb: Large;10K - 20K;Coeducational;No;Professional;Majority;On-campus;0-None;$50.000;$57.660;$18.942;$80.602;24-25;Merit;178;79%;$30.997;$46.173;$5.5m;No;$28.000;Presidential Scholarship;https://www.hofstra.edu/admission/scholarship-opportunities.html;The Presidential Scholarship is the highest merit award. All first-year applicants are automatically considered based on their admission application. No separate application is needed.;$29.660;$52.602;Automatic consideration;70,6%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;international_playlist
Hollins University;;Hollins;VA;Virginia;Private;Southeast;;Suburb: Midsize;<1K;Women's;No;Arts and Sciences;Very High;On-campus;1-Historically;$25.000;$42.260;$15.800;$62.060;;Merit;42;100%;$36.926;$24.294;$1.6m;No;;;;;;TBD;Unclear;70,9%;13,6%;;31%;428;58;18;;;Early Action Only;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;early_admission;;affordable;;;international_playlist
Hollins University;https://www.hollins.edu;Hollins;VA;Virginia;Private;Southeast;;Suburb: Midsize;<1K;Women's;No;Arts and Sciences;Very High;On-campus;1-Historically;$25.000;$42.260;$15.800;$62.060;24-25;Merit;42;100%;$36.926;$24.294;$1.6m;No;;;;;;TBD;Unclear;70,9%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;affordable;;;international_playlist
Hood College;https://www.hood.edu;Frederick;MD;Maryland;Private;Northeast (Mid-Atlantic);Washington, DC;City: Small;1K - 9K;Coeducational;No;Balanced;Majority;On-campus;1-Historically;$30.000;$47.700;$16.200;$67.900;24-25;Both;11;91%;$36.674;$27.446;;;;;;;;;Unclear;78%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;affordable;;;international_playlist
Hope College;;Holland;MI;Michigan;Private;Midwest (Great Lakes);;City: Small;1K - 9K;Coeducational;No;Balanced;Exclusively;On-campus;4-Moderately;$30.000;$38.530;$12.450;$54.980;;Merit;55;65%;$27.064;$26.786;$1.5m;No;$25.000;Trustee Scholarship;https://hope.edu/admissions/scholarships.html;All international applicants are automatically considered for a merit-based scholarship upon admission. The primary considerations are academic performance, personal statement, activities, and leadership.;$13.530;$29.980;Automatic consideration;76%;;21%;;;;;76%;;Early Action Only;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;early_admission;;affordable;;;international_playlist
Hope College;https://www.hope.edu;Holland;MI;Michigan;Private;Midwest (Great Lakes);;City: Small;1K - 9K;Coeducational;No;Balanced;Exclusively;On-campus;4-Moderately;$30.000;$38.530;$12.450;$54.980;24-25;Merit;55;65%;$27.064;$26.786;$1.5m;No;$25.000;Trustee Scholarship;https://hope.edu/admissions/scholarships.html;All international applicants are automatically considered for a merit-based scholarship upon admission. The primary considerations are academic performance, personal statement, activities, and leadership.;$13.530;$29.980;Automatic consideration;76%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;affordable;;;international_playlist
Howard University;;Washington;DC;Dist. of Columbia;Private;Northeast (Mid-Atlantic);Washington, DC;City: Large;10K - 20K;Coeducational;Yes;Balanced;Majority;On-campus;1-Historically;$30.000;$35.810;$17.322;$57.132;;Both;456;91%;$25.047;$28.771;$11.4m;No;;;;;;TBD;Unclear;35%;40%;21%;-;;-;;35%;;Both;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;early_admission;;affordable;;;international_playlist
Howard University;https://www.howard.edu;Washington;DC;Dist. of Columbia;Private;Northeast (Mid-Atlantic);Washington, DC;City: Large;10K - 20K;Coeducational;Yes;Balanced;Majority;On-campus;1-Historically;$30.000;$35.810;$17.322;$57.132;24-25;Both;456;91%;$25.047;$28.771;$11.4m;No;;;;;;TBD;Unclear;35%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;affordable;;;international_playlist
Hult International Business School;;Cambridge;MA;Massachusetts;Private;Northeast (New England);Boston, MA;City: Midsize;1K - 9K;Coeducational;No;Professional;Minority;Off-campus;0-None;;$56.200;$19.400;$79.600;;Pending;No data;;No data;;;;;;;;;;Unclear;54%;;22%;-;;-;;54%;;Early Decision only;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;early_admission;generous_aid;;;;international_playlist
Hult International Business School;https://www.hult.edu;Cambridge;MA;Massachusetts;Private;Northeast (New England);Boston, MA;City: Midsize;1K - 9K;Coeducational;No;Professional;Minority;Off-campus;0-None;;$56.200;$19.400;$79.600;23-24;Pending;No data;;No data;;;;;;;;;;Unclear;54%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;generous_aid;;;;international_playlist
Idaho State University;https://www.isu.edu;Pocatello;ID;Idaho;Public;West (Rocky Mountains);;City: Small;10K - 20K;Coeducational;No;Professional;High;On-campus;0-None;$30.000;$27.720;$6.300;$38.020;23-24;Merit;48;35%;$9.261;$29.831;$0.4m;No;OOS waiver;Non-Resident Tuition Waivers;https://www.isu.edu/scholarships/non-resident-tuition-waivers-/#d.en.31488;A limited number of tuition waivers that reduce tuition to the in-state rate are available for international students. Awarded on a competitive, first-come, first-served basis, typically requiring a high GPA (3.5+).;$8.610;$18.910;Automatic consideration;99%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;affordable;;;international_playlist
Illinois Institute of Technology;;Chicago;IL;Illinois;Private;Midwest (Great Lakes);Chicago, IL;City: Large;5K - 10K;Coeducational;No;Professional;Majority;On-campus;0-None;$50.000;$52.386;$17.356;$73.742;;Both;392;95%;$25.131;$47.160;$9.9m;No;Full Tuition;M. A. and Lila Self Leadership Academy Scholarship;https://www.iit.edu/admissions-aid/tuition-and-aid/scholarships/international-undergraduate-student-scholarships;This is a premier scholarship program. Students are automatically reviewed for most institutional scholarships, including this one, upon application. Some top awards, like the Camras Scholarship, may require an interview.;$0;$21.356;Requires application;55,4%;43,6%;11%;5%;2726;1188;56;44%;;Both;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;early_admission;;;;;international_playlist
Illinois Institute of Technology;https://www.iit.edu;Chicago;IL;Illinois;Private;Midwest (Great Lakes);Chicago, IL;City: Large;5K - 10K;Coeducational;No;Professional;Majority;On-campus;0-None;$50.000;$52.386;$17.356;$73.742;24-25;Both;392;95%;$25.131;$47.160;$9.9m;No;Full Tuition;M. A. and Lila Self Leadership Academy Scholarship;https://www.iit.edu/admissions-aid/tuition-and-aid/scholarships/international-undergraduate-student-scholarships;This is a premier scholarship program. Students are automatically reviewed for most institutional scholarships, including this one, upon application. Some top awards, like the Camras Scholarship, may require an interview.;$0;$21.356;Requires application;55,4%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;international_playlist
Illinois State University;https://www.illinoisstate.edu;Normal;IL;Illinois;Public;Midwest (Great Lakes);Chicago, IL;Suburb: Midsize;20K+;Coeducational;No;Professional;Very High;On-campus;0-None;$30.000;$27.524;$11.026;$42.550;24-25;Merit;83;60%;$16.443;$26.152;$1.4m;No;$5.000;International Student Scholarships;https://illinoisstate.edu/admissions/international/;The university offers various scholarships for international students. New students are automatically considered for the International Student Merit Scholarship upon admission based on GPA. No separate application required.;$22.524;$37.550;Automatic consideration;89%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;affordable;;;international_playlist
